epoch,lr-AdamW,p_cd1,p_cd2,p_cd3,step,train_cd_reg,train_f1_score,train_f_beta,train_loss_epoch,train_loss_step,train_mcc,train_task_loss,val_auroc,val_f1_score,val_f_beta,val_loss_epoch,val_loss_step,val_mcc,val_task_loss
3,,,,,859,,,,,1.1448936462402344,,,,,,,,,
3,,,,,869,,,,,0.9887881278991699,,,,,,,,,
3,,,,,879,,,,,0.4938358962535858,,,,,,,,,
3,,,,,889,,,,,0.48514074087142944,,,,,,,,,
3,,,,,899,,,,,0.537372887134552,,,,,,,,,
3,,,,,909,,,,,0.5022880434989929,,,,,,,,,
3,,,,,919,,,,,0.40833666920661926,,,,,,,,,
3,,,,,929,,,,,0.5512169003486633,,,,,,,,,
3,,,,,939,,,,,0.40592098236083984,,,,,,,,,
3,,,,,949,,,,,0.5210303068161011,,,,,,,,,
3,,,,,959,,,,,1.0920445919036865,,,,,,,,,
3,,,,,969,,,,,0.5130780935287476,,,,,,,,,
3,,,,,979,,,,,0.6854657530784607,,,,,,,,,
3,,,,,989,,,,,0.5440782904624939,,,,,,,,,
3,,,,,999,,,,,0.43495821952819824,,,,,,,,,
3,,,,,1009,,,,,0.541123628616333,,,,,,,,,
3,,,,,1019,,,,,0.5785552859306335,,,,,,,,,
3,,,,,1029,,,,,0.8146746158599854,,,,,,,,,
3,,,,,1039,,,,,0.9252792000770569,,,,,,,,,
3,,,,,1049,,,,,0.5147313475608826,,,,,,,,,
3,,,,,1059,,,,,0.6885983347892761,,,,,,,,,
3,,,,,1069,,,,,0.5270110368728638,,,,,,,,,
3,,,,,1079,,,,,0.789764404296875,,,,,,,,,
,,,,,181,,,,,,,,,,,,0.23200352489948273,,
,,,,,182,,,,,,,,,,,,0.6472120881080627,,
,,,,,183,,,,,,,,,,,,0.461178183555603,,
,,,,,184,,,,,,,,,,,,0.542488157749176,,
,,,,,185,,,,,,,,,,,,0.8223676681518555,,
,,,,,186,,,,,,,,,,,,0.8572313785552979,,
,,,,,187,,,,,,,,,,,,0.7409384250640869,,
,,,,,188,,,,,,,,,,,,0.8262343406677246,,
,,,,,189,,,,,,,,,,,,0.5013341307640076,,
,,,,,190,,,,,,,,,,,,0.13141268491744995,,
,,,,,191,,,,,,,,,,,,0.10037606209516525,,
,,,,,192,,,,,,,,,,,,0.17205163836479187,,
,,,,,193,,,,,,,,,,,,0.20612400770187378,,
,,,,,194,,,,,,,,,,,,0.3320726156234741,,
,,,,,195,,,,,,,,,,,,0.8136379718780518,,
,,,,,196,,,,,,,,,,,,0.5602283477783203,,
,,,,,197,,,,,,,,,,,,0.5314921140670776,,
,,,,,198,,,,,,,,,,,,0.4614107012748718,,
,,,,,199,,,,,,,,,,,,0.33047395944595337,,
,,,,,200,,,,,,,,,,,,0.5686887502670288,,
,,,,,201,,,,,,,,,,,,0.516114354133606,,
,,,,,202,,,,,,,,,,,,0.47206610441207886,,
,,,,,203,,,,,,,,,,,,0.4236242473125458,,
,,,,,204,,,,,,,,,,,,0.30551519989967346,,
,,,,,205,,,,,,,,,,,,0.3570611774921417,,
